Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2000-01-03,14.809989929199219,15.219893380909909,14.792168039994408,15.210982436307502,140500
2000-01-04,14.667418479919434,14.854548363320593,14.605041852119047,14.827815522834713,258000
2000-01-05,15.273362159729004,15.291184052564159,14.685239696168843,14.836725785267673,102700
2000-01-06,15.665444374084473,15.816930468714412,15.273362717395212,15.28227366413815,1335000
2000-01-07,15.656526565551758,15.932765793515392,15.656526565551758,15.825834479464953,620100
2000-01-10,15.603059768676758,15.799100496781206,15.478306578064835,15.799100496781206,171200
2000-01-11,15.415937423706055,15.540690674533733,15.300095119366066,15.478314049119893,39700
2000-01-12,15.193167686462402,15.41594140620525,15.175345788882973,15.175345788882973,135300
2000-01-13,15.255541801452637,15.380295063847694,15.184254222941176,15.33574032727803,45900
2000-01-14,15.148611068725586,15.237720545600443,15.0773234872257,15.121878225663128,76000
2000-01-18,14.783256530761719,15.00603013731328,14.64959236683078,14.952564471740905,34400
2000-01-19,14.498104095458984,14.801076153999615,14.498104095458984,14.703055782118824,125700
2000-01-20,14.114938735961914,14.649595506263502,14.114938735961914,14.649595506263502,99400
2000-01-21,14.177313804626465,14.328799872934855,14.008005845928851,14.328799872934855,180100
2000-01-24,13.803059577941895,14.123853732109684,13.607018705950466,14.123853732109684,190900
2000-01-25,13.544641494750977,13.829791842008891,13.33968968265935,13.749593306842602,63400
2000-01-26,13.544641494750977,13.909990377175179,13.544641494750975,13.669394771676313,300700
2000-01-27,13.615923881530762,13.785231835555031,13.544636321941594,13.687211441119928,54300
2000-01-28,13.384245872497559,13.60701960539532,13.02780789986114,13.598108656079411,29400
2000-01-31,13.304040908813477,13.330773743861327,13.179287678590176,13.259486183733726,16300
2000-02-01,13.544641494750977,13.615929081565454,13.304045889252109,13.304045889252109,42700
2000-02-02,13.607020378112793,13.61593132793474,13.437712331495803,13.61593132793474,49000
2000-02-03,13.375327110290527,13.678299210057267,13.295128613293448,13.678299210057267,183800
2000-02-04,13.35750675201416,13.464438093591326,13.277308245831287,13.464438093591326,105000
2000-02-07,13.099085807800293,13.428790688676898,13.090174865073898,13.428790688676898,49100
2000-02-08,13.063443183898926,13.277305828110094,12.974333748810938,13.116908844951718,134700
2000-02-09,12.805027961730957,13.12582198164906,12.805027961730957,13.05453442166726,33500
2000-02-10,12.69809627532959,12.831760446648849,12.6000758830288,12.831760446648849,131100
2000-02-11,12.386213302612305,12.796116764425374,12.243638185459934,12.662452592095025,24300
2000-02-14,12.591167449951172,12.689187861805001,12.34166094705051,12.546612717290339,24100
2000-02-15,13.134734153747559,13.134734153747559,12.555522674783115,12.635721187255115,32600
2000-02-16,12.831761360168457,13.152555394172667,12.80502852400144,13.116911612616644,17400
2000-02-17,12.805027961730957,13.099089146655885,12.769384181740056,12.974335916687734,45700
