Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2000-01-03,41.561378479003906,41.70194683913582,40.10883875764075,41.70194683913582,938100
2000-01-04,39.45285415649414,41.04596228157823,39.21857354986413,40.4836888256662,545500
2000-01-05,38.867149353027344,39.78084364161569,37.57860612553096,38.79686517698209,1906000
2000-01-06,37.57859802246094,39.05456540114862,37.20374916438153,38.42200795313961,1670000
2000-01-07,38.23457717895508,38.23457717895508,36.828894194434675,37.20374299030678,686000
2000-01-10,39.68711853027344,40.061967347560554,39.03113310002098,39.733974632434325,1020500
2000-01-11,38.56256866455078,40.08539184996743,38.375144272499504,39.73397111487128,1411300
2000-01-12,38.3985710144043,39.26540879813398,37.953438098435,39.26540879813398,1983200
2000-01-13,38.750003814697266,38.984284369804264,38.14087437141907,38.89057214776146,1193000
2000-01-14,39.640254974365234,40.27281223459447,39.56997083433976,39.92139153446711,1383900
2000-01-18,39.85110855102539,40.272813403417196,39.44111772231114,39.54654393540909,550800
2000-01-19,39.92141342163086,40.08540983826901,39.405996112196654,39.68713282643349,790400
2000-01-20,40.15569305419922,40.811678705026274,39.82770022878569,40.67111035127762,1095600
2000-01-21,40.2025260925293,40.389950456597035,39.83939138714806,40.389950456597035,1434700
2000-01-24,38.89057922363281,40.741395945721365,38.67972668567336,40.43683116866882,568900
2000-01-25,39.72226333618164,39.757405415216894,38.28143809573624,38.808569281265044,2982400
2000-01-26,38.42198944091797,39.546535473335084,38.18770901749774,39.49967938865103,839300
2000-01-27,38.04716491699219,39.07799943444764,37.2740390289006,38.89057497672847,1238100
2000-01-28,36.6883430480957,38.32830729673344,36.07921347003026,37.57860935449905,2457000
2000-01-31,37.90660095214844,37.90660095214844,35.89178779894401,36.688341836257386,1312300
2000-02-01,38.703155517578125,38.796867758540785,37.508324445304225,37.871459379034526,474900
2000-02-02,38.98428726196289,39.47627646418718,38.562582231484924,38.562582231484924,534700
2000-02-03,40.10881805419922,40.10881805419922,38.80856139414779,39.17169613704503,1244600
2000-02-04,40.57738494873047,40.95223377042775,40.20253612703319,40.29624833245751,691700
2000-02-07,41.045936584472656,41.139648768455466,40.343095204601546,40.6710878485414,655300
2000-02-08,41.420806884765625,41.79565581584948,41.291952564705554,41.37395076838014,886000
2000-02-09,40.90538787841797,42.07679073862467,40.67110730637663,41.79565405217506,1623300
2000-02-10,41.87765884399414,41.889372874440014,40.85853819520323,40.999106560553706,1157600
