,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Ticker,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Date,,,,,,,,,,,
2018-06-19,66.85662078857422,55.26179122924805,24.03458023071289,75.96297454833984,104.94152069091797,42.843666076660156,65.31887817382812,40.779808044433594,51.17753982543945,25.238231658935547,47.037532806396484
2018-06-20,66.99703979492188,55.50578308105469,23.973064422607422,76.12409210205078,105.4390869140625,42.88562774658203,65.36347198486328,40.81231689453125,51.01129913330078,25.510644912719727,47.62126922607422
2018-06-21,66.48223876953125,54.47804260253906,23.902761459350586,75.6854476928711,104.68803405761719,42.969520568847656,64.54286193847656,40.950443267822266,50.46879577636719,25.662874221801758,47.32939910888672
2018-06-22,66.26696014404297,55.56494140625,23.78852081298828,76.0256118774414,104.50967407226562,43.32194519042969,64.76586151123047,41.23482131958008,51.20378875732422,25.887216567993164,47.536529541015625
2018-06-25,64.8910903930664,54.44845199584961,23.533676147460938,75.327392578125,102.2376937866211,43.540103912353516,63.94524383544922,41.917320251464844,50.407562255859375,25.823123931884766,46.557369232177734
2018-06-26,65.15316009521484,55.136104583740234,23.4545841217041,75.09465026855469,102.96998596191406,43.35550308227539,64.18608093261719,41.9660758972168,50.60005569458008,25.95932388305664,46.63457107543945
2018-06-27,64.26398468017578,55.87548065185547,23.164588928222656,74.45911407470703,101.6368637084961,43.263206481933594,63.668739318847656,42.16919708251953,50.44255447387695,25.887216567993164,46.227840423583984
2018-06-28,65.05020904541016,55.801544189453125,23.3667049407959,74.55755615234375,102.43485260009766,43.263206481933594,63.757938385009766,42.152950286865234,50.635040283203125,26.14360809326172,46.68918991088867
2018-06-29,65.02213287353516,56.14906311035156,23.3667049407959,74.70975494384766,102.61324310302734,43.23802947998047,63.891727447509766,42.21795654296875,50.81003952026367,26.20769500732422,46.6326904296875
2018-07-02,65.6024169921875,55.32093811035156,23.48094367980957,74.9424819946289,102.75405883789062,42.98630142211914,64.03443908691406,42.518577575683594,50.538795471191406,26.05547332763672,46.924560546875
2018-07-03,64.82557678222656,55.668453216552734,23.270036697387695,75.12152099609375,102.2376937866211,43.08699417114258,63.829307556152344,42.64046096801758,50.4513053894043,26.20769500732422,46.35024642944336
2018-07-05,65.7428207397461,55.60930252075195,23.32276725769043,75.90032196044922,102.74467468261719,43.6827392578125,64.1415023803711,42.86795425415039,50.8887939453125,26.552217483520508,47.056358337402344
2018-07-06,66.51031494140625,55.94941711425781,23.4370059967041,76.99239349365234,103.55204772949219,43.81698989868164,64.3644790649414,43.20108413696289,51.14253616333008,26.66439437866211,47.80015563964844
2018-07-09,67.01575469970703,56.78493881225586,23.973064422607422,77.55634307861328,104.79130554199219,43.64918899536133,65.55970764160156,41.86857604980469,51.597537994384766,26.4160213470459,48.07318878173828
2018-07-10,67.17487335205078,57.20637893676758,23.88517951965332,77.85173034667969,105.01663208007812,44.16941452026367,65.7648696899414,42.266700744628906,52.035011291503906,26.54421615600586,48.05341339111328
2018-07-11,66.91278076171875,55.99378204345703,23.77094078063965,77.23408508300781,104.77249908447266,44.02677536010742,64.68559265136719,42.64857864379883,51.16004943847656,26.464088439941406,47.988460540771484
2018-07-12,67.9704360961914,56.089908599853516,23.81488037109375,78.09343719482422,105.4672622680664,43.968040466308594,65.44376373291016,42.68108367919922,51.282535552978516,26.528188705444336,48.74165344238281
2018-07-13,67.89556121826172,56.385643005371094,23.709426879882812,78.23667907714844,105.70196533203125,44.25331497192383,65.78271484375,42.68921661376953,51.25630187988281,26.440052032470703,48.66633987426758
2018-07-16,67.7364730834961,55.7349967956543,24.131242752075195,77.76223754882812,105.96484375,44.043548583984375,65.51510620117188,42.64857864379883,50.84504699707031,26.295835494995117,48.525115966796875
2018-07-17,68.24188995361328,55.513179779052734,24.15760612487793,78.19189453125,106.0680923461914,44.42113494873047,65.77377319335938,42.6160774230957,51.51003646850586,26.119569778442383,48.53453063964844
2018-07-18,68.12954711914062,55.550140380859375,24.544269561767578,78.25457000732422,106.00238037109375,44.06034469604492,66.49627685546875,42.396705627441406,51.02879333496094,26.023420333862305,48.3932991027832
2018-07-19,67.88619995117188,55.56494140625,24.17518424987793,77.8159408569336,105.7582778930664,44.08551025390625,66.4695053100586,42.78670120239258,51.21253967285156,26.271800994873047,48.05436706542969
2018-07-20,67.9049301147461,55.37268829345703,24.219118118286133,77.66377258300781,105.28887176513672,44.3540153503418,66.3981704711914,42.486080169677734,51.00254440307617,26.03944969177246,47.89431381225586
2018-07-23,68.25120544433594,55.12870788574219,24.553054809570312,77.82489013671875,105.17622375488281,44.077117919921875,65.98785400390625,42.185447692871094,50.72255325317383,25.967336654663086,48.0920295715332
2018-07-24,68.62562561035156,55.8237190246582,24.62335777282715,78.53204345703125,104.86640167236328,44.16102981567383,66.26437377929688,42.33169174194336,51.3787841796875,25.895227432250977,48.43095779418945
2018-07-25,69.48672485351562,56.28953552246094,24.676082611083984,79.53463745117188,105.63621520996094,44.49666213989258,67.27230072021484,42.45357894897461,51.781272888183594,26.151615142822266,48.77931594848633
2018-07-26,68.41969299316406,56.90323257446289,24.66729736328125,79.31085968017578,105.08233642578125,44.731605529785156,67.78963470458984,42.90858459472656,52.07876968383789,26.239749908447266,46.93961715698242
2018-07-27,67.24972534179688,56.65922927856445,24.72002410888672,78.73795318603516,104.81008911132812,44.79033660888672,67.79855346679688,42.77045440673828,51.88626480102539,25.999385833740234,46.0489616394043
2018-07-30,66.20145416259766,57.125057220458984,24.737600326538086,78.78271484375,103.97453308105469,44.73999786376953,67.12959289550781,42.51046371459961,51.79001998901367,25.9753475189209,45.323997497558594
2018-07-31,66.37930297851562,57.02152633666992,24.561845779418945,79.60623931884766,104.46270751953125,44.949764251708984,68.6102523803711,42.892337799072266,52.26250457763672,26.48011016845703,45.625282287597656
2018-08-01,66.97831726074219,56.23040008544922,24.561845779418945,79.62413787841797,103.94634246826172,44.572181701660156,67.68257904052734,42.6160774230957,51.7287712097168,26.656375885009766,45.436981201171875
2018-08-02,67.8206787109375,55.91986846923828,24.57063102722168,79.91956329345703,104.65986633300781,45.02528381347656,67.59339904785156,42.82733154296875,51.38753128051758,26.528188705444336,45.73825454711914
2018-08-03,68.06404113769531,55.6314811706543,24.71123504638672,80.39397430419922,105.01663208007812,45.55390167236328,67.65585327148438,43.30671310424805,51.87751388549805,26.872713088989258,46.0489616394043
2018-08-06,68.42906188964844,55.83852767944336,24.843053817749023,80.53720092773438,105.72073364257812,45.59585189819336,67.75397491455078,43.33921432495117,51.86002731323242,26.81662940979004,46.51029586791992
2018-08-07,68.69113159179688,56.2525749206543,24.957290649414062,80.54615783691406,106.20892333984375,45.31896209716797,68.23561096191406,43.27421951293945,52.035011291503906,26.760540008544922,46.56678771972656
